-- Query 8:
SELECT * FROM Operations WHERE Operation_End_Date > '2024-04-25';

(1, 'Operation Use', 'Capt. Davis', datetime.date(2025, 2, 15), datetime.date(2025, 3, 3))
(2, 'Operation Particular', 'Capt. Nguyen', datetime.date(2025, 1, 25), datetime.date(2025, 3, 4))
(3, 'Operation Meet', 'Maj. Small', datetime.date(2025, 2, 9), datetime.date(2025, 3, 26))
(4, 'Operation Television', 'Maj. Douglas', datetime.date(2024, 12, 30), datetime.date(2025, 3, 20))
(5, 'Operation Cup', 'Capt. Johnson', datetime.date(2025, 2, 24), datetime.date(2025, 2, 27))
(6, 'Operation Yet', 'Maj. Hunt', datetime.date(2025, 1, 22), datetime.date(2025, 3, 3))
(7, 'Operation Evidence', 'Maj. Joyce', datetime.date(2025, 1, 24), datetime.date(2025, 3, 15))
(8, 'Operation End', 'Capt. Brown', datetime.date(2025, 1, 9), datetime.date(2025, 3, 16))
(9, 'Operation Series', 'Capt. Ball', datetime.date(2025, 2, 5), datetime.date(2025, 3, 17))
(10, 'Operation Life', 'Maj. Krause', datetime.date(2025, 2, 1), datetime.date(2025, 3, 11))
(11, 'Operation Think', 'Capt. Morales', datetime.date(2025, 1, 11), datetime.date(2025, 3, 1))
(12, 'Operation Story', 'Capt. Gonzalez', datetime.date(2025, 2, 17), datetime.date(2025, 3, 17))
(13, 'Operation Argue', 'Maj. Sullivan', datetime.date(2025, 1, 14), datetime.date(2025, 3, 23))
(14, 'Operation Decision', 'Maj. Stokes', datetime.date(2025, 2, 10), datetime.date(2025, 3, 19))
(15, 'Operation Avoid', 'Capt. Richards', datetime.date(2025, 1, 5), datetime.date(2025, 3, 22))
(16, 'Operation Then', 'Maj. Snyder', datetime.date(2025, 1, 28), datetime.date(2025, 3, 4))
(17, 'Operation Find', 'Capt. Gutierrez', datetime.date(2025, 1, 22), datetime.date(2025, 3, 6))
(18, 'Operation Health', 'Maj. Soto', datetime.date(2025, 1, 2), datetime.date(2025, 3, 26))
(19, 'Operation Many', 'Maj. Thomas', datetime.date(2025, 1, 16), datetime.date(2025, 3, 3))
(20, 'Operation Wall', 'Maj. Robinson', datetime.date(2025, 2, 11), datetime.date(2025, 2, 28))
(21, 'Operation Practice', 'Maj. Contreras', datetime.date(2025, 2, 8), datetime.date(2025, 3, 16))
(22, 'Operation Mission', 'Maj. Carpenter', datetime.date(2025, 2, 15), datetime.date(2025, 3, 26))
